L	TP	MP	AP	FC	VC	TC	AFC	AVC	ATC	MC	MR	TR	profit	MR2	TR2	profit2
1.00	5.00	5.00	5.00	140.00	95.00	235.00	28.00	19.00	47.00	47.00	20.00	100.00	-135.00	25.00	125.00	-110.00
2.00	11.00	6.00	5.50	140.00	205.00	345.00	12.73	18.64	31.36	18.33	20.00	220.00	-125.00	25.00	275.00	-70.00
3.00	18.00	7.00	6.00	140.00	330.00	470.00	7.78	18.33	26.11	17.86	20.00	360.00	-110.00	25.00	450.00	-20.00
4.00	32.00	14.00	8.00	140.00	560.00	700.00	4.38	17.50	21.88	16.43	20.00	640.00	-60.00	25.00	800.00	100.00
5.00	50.00	18.00	10.00	140.00	850.00	990.00	2.80	17.00	19.80	16.11	20.00	1000.00	10.00	25.00	1250.00	260.00
6.00	70.00	20.00	11.67	140.00	1170.00	1310.00	2.00	16.71	18.71	16.00	20.00	1400.00	90.00	25.00	1750.00	440.00
7.00	93.00	23.00	13.29	140.00	1535.00	1675.00	1.51	16.51	18.01	15.87	20.00	1860.00	185.00	25.00	2325.00	650.00
8.00	116.00	23.00	14.50	140.00	1900.00	2040.00	1.21	16.38	17.59	15.87	20.00	2320.00	280.00	25.00	2900.00	860.00
9.00	132.00	16.00	14.67	140.00	2160.00	2300.00	1.06	16.36	17.42	16.25	20.00	2640.00	340.00	25.00	3300.00	1000.00
10.00	142.00	10.00	14.20	140.00	2330.00	2470.00	0.99	16.41	17.39	17.00	20.00	2840.00	370.00	25.00	3550.00	1080.00
11.00	147.00	5.00	13.36	140.00	2425.00	2565.00	0.95	16.50	17.45	19.00	20.00	2940.00	375.00	25.00	3675.00	1110.00
12.00	150.00	3.00	12.50	140.00	2490.00	2630.00	0.93	16.60	17.53	21.67	20.00	3000.00	370.00	25.00	3750.00	1120.00
13.00	152.00	2.00	11.69	140.00	2540.00	2680.00	0.92	16.71	17.63	25.00	20.00	3040.00	360.00	25.00	3800.00	1120.00
14.00	153.00	1.00	10.93	140.00	2575.00	2715.00	0.92	16.83	17.75	35.00	20.00	3060.00	345.00	25.00	3825.00	1110.00
