L	TP	MP	AP	FC	VC	TC	AFC	AVC	ATC	MC	MR	TR	profit	MR2	TR2	profit2	shutdown-price
1.00	5.00	5.00	5.00	100.00	95.00	195.00	20.00	19.00	39.00	39.00	20.00	100.00	-95.00	25.00	125.00	-70.00	16.75
2.00	11.00	6.00	5.50	100.00	205.00	305.00	9.09	18.64	27.73	18.33	20.00	220.00	-85.00	25.00	275.00	-30.00	16.75
3.00	18.00	7.00	6.00	100.00	330.00	430.00	5.56	18.33	23.89	17.86	20.00	360.00	-70.00	25.00	450.00	20.00	16.75
4.00	32.00	14.00	8.00	100.00	560.00	660.00	3.12	17.50	20.62	16.43	20.00	640.00	-20.00	25.00	800.00	140.00	16.75
5.00	50.00	18.00	10.00	100.00	850.00	950.00	2.00	17.00	19.00	16.11	20.00	1000.00	50.00	25.00	1250.00	300.00	16.75
6.00	68.00	18.00	11.33	100.00	1140.00	1240.00	1.47	16.76	18.24	16.11	20.00	1360.00	120.00	25.00	1700.00	460.00	16.75
7.00	77.00	9.00	11.00	100.00	1295.00	1395.00	1.30	16.82	18.12	17.22	20.00	1540.00	145.00	25.00	1925.00	530.00	16.75
8.00	80.00	3.00	10.00	100.00	1360.00	1460.00	1.25	17.00	18.25	21.67	20.00	1600.00	140.00	25.00	2000.00	540.00	16.75
9.00	82.00	2.00	9.11	100.00	1410.00	1510.00	1.22	17.20	18.41	25.00	20.00	1640.00	130.00	25.00	2050.00	540.00	16.75
10.00	83.00	1.00	8.30	100.00	1445.00	1545.00	1.20	17.41	18.61	35.00	20.00	1660.00	115.00	25.00	2075.00	530.00	16.75
